"Df","SumOfSqs","R2","F","pvalue","comparison","data","source","features","seed","prev_rate","ratio","colour"
1,4.81426896053869,0.471072059674809,26.7185011658784,0.001,"BAR_LAG","pres/abs","indvalSpecies",22,"seed_10","prev_10",2.129,"blue"
1,1.12418028314646,0.137019720600944,4.76325092954704,0.001,"BAY_LAG","pres/abs","allSpecies",15,"seed_10","prev_10",1.172,"blue"
1,3.88972222222222,0.526864323876891,25.6118489065606,0.001,"BAY_LAG","pres/abs","indvalSpecies",4,"seed_10","prev_10",4.505,"blue"
1,4.60335676124971,0.278145086259727,17.7247168709459,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",34,"seed_10","prev_10",1.398,"blue"
1,6.06867279985506,0.389095327088907,29.2981635920381,0.001,"INSHORE_OFFSHORE","pres/abs","indvalSpecies",22,"seed_10","prev_10",1.955,"blue"
1,3.46381512938455,0.297449895159814,12.7015807033782,0.001,"BAR_BAY","maxN","allSpecies",36,"seed_10","prev_10",1.259,"blue"
1,4.25749882959883,0.369762975899719,17.601138703058,0.001,"BAR_BAY","maxN","indvalSpecies",22,"seed_10","prev_10",1.565,"blue"
1,2.97181236088572,0.270802945761922,11.1411426110962,0.001,"BAR_LAG","maxN","allSpecies",35,"seed_10","prev_10",1.203,"blue"
1,4.00584156689375,0.36792070582216,17.4623995380543,0.001,"BAR_LAG","maxN","indvalSpecies",22,"seed_10","prev_10",1.634,"blue"
1,1.15104048618148,0.136733961097663,4.7517435507433,0.001,"BAY_LAG","maxN","allSpecies",15,"seed_10","prev_10",1.073,"blue"
1,1.63514074372974,0.216347722494296,7.17798052314183,0.001,"BAY_LAG","maxN","indvalSpecies",5,"seed_10","prev_10",1.698,"blue"
1,4.08672722576208,0.241826909890532,14.6721612783149,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",34,"seed_10","prev_10",1.256,"blue"
1,5.33404879613776,0.330892759385984,22.7483219547698,0.001,"INSHORE_OFFSHORE","maxN","indvalSpecies",22,"seed_10","prev_10",1.719,"blue"
1,3.8543996102515,0.346193413215334,15.8851296490236,0.001,"BAR_BAY","pres/abs","allSpecies",36,"seed_10","prev_10",1.335,"blue"
1,2.57634333928746,0.240430406292362,9.17951671609728,0.001,"BAR_BAY","pres/abs","bininterSpecies",14,"seed_10","prev_10",0.703,"blue"
1,3.51125468092066,0.334794984036623,15.0988782105811,0.001,"BAR_LAG","pres/abs","allSpecies",35,"seed_10","prev_10",1.513,"blue"
1,2.97301567725889,0.297283601894067,12.2684264635992,0.001,"BAR_LAG","pres/abs","bininterSpecies",12,"seed_10","prev_10",0.9,"blue"
1,1.12418028314646,0.137019720600944,4.76325092954704,0.001,"BAY_LAG","pres/abs","allSpecies",15,"seed_10","prev_10",1.172,"blue"
1,0.718234525581066,0.113358576178971,3.83554974311193,0.004,"BAY_LAG","pres/abs","bininterSpecies",8,"seed_10","prev_10",0.726,"red"
1,4.60335676124971,0.278145086259727,17.7247168709459,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",34,"seed_10","prev_10",1.398,"blue"
1,5.49222059564037,0.350327229235463,24.804876039159,0.001,"INSHORE_OFFSHORE","pres/abs","bininterSpecies",22,"seed_10","prev_10",1.227,"blue"
1,3.46381512938455,0.297449895159814,12.7015807033782,0.001,"BAR_BAY","maxN","allSpecies",36,"seed_10","prev_10",1.259,"blue"
1,3.33559409490558,0.291325602946682,12.332557976894,0.001,"BAR_BAY","maxN","bininterSpecies",20,"seed_10","prev_10",1.002,"blue"
1,2.97181236088572,0.270802945761922,11.1411426110962,0.001,"BAR_LAG","maxN","allSpecies",35,"seed_10","prev_10",1.203,"blue"
1,1.0037037037037,0.201337295690936,3.27720930232558,0.073,"BAR_LAG","maxN","bininterSpecies",3,"seed_10","prev_10",0.65,"red"
1,1.15104048618148,0.136733961097663,4.7517435507433,0.001,"BAY_LAG","maxN","allSpecies",15,"seed_10","prev_10",1.073,"blue"
1,0.405852098504629,0.0526343487157293,1.11117283267294,0.355,"BAY_LAG","maxN","bininterSpecies",5,"seed_10","prev_10",0.339,"red"
1,4.08672722576208,0.241826909890532,14.6721612783149,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",34,"seed_10","prev_10",1.256,"blue"
1,3.70695234056594,0.226242307668963,12.8653474286566,0.001,"INSHORE_OFFSHORE","maxN","bininterSpecies",13,"seed_10","prev_10",0.982,"blue"
1,3.8543996102515,0.346193413215334,15.8851296490236,0.001,"BAR_BAY","pres/abs","allSpecies",36,"seed_10","prev_10",1.013,"blue"
1,3.97405132353005,0.367607561472085,17.4388973875685,0.001,"BAR_BAY","pres/abs","terinterSpecies",22,"seed_10","prev_10",1.075,"blue"
