"feature","featureImportance","class","IsIndSp","prevalence","comparison","source","data"
"Carangoides plagiotaenia",0.05,"LAG",0,2.5,"BAR_LAG","indval","bin"
"Caranx ignobilis",0.025,"BAR",0,5,"BAR_LAG","indval","bin"
"Carcharhinus leucas",0.05,"LAG",0,2.5,"BAR_LAG","indval","bin"
"Centropyge tibicen",0.2,"BAR",0,10,"BAR_LAG","indval","bin"
"Chaetodon auriga",0.3,"BAR",1,15,"BAR_LAG","indval","bin"
"Chaetodon ephippium",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Chaetodon kleinii",0.25,"BAR",1,12.5,"BAR_LAG","indval","bin"
"Chaetodon melannotus",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Chaetodon mertensii",0.15,"BAR",0,7.5,"BAR_LAG","indval","bin"
"Chaetodon plebeius",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Cheilinus chlorourus",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Cheilio inermis",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Cheilodipterus quinquelineatus",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Chlorurus sordidus",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Choerodon graphicus",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Chromis fumea",0.1,"BAR",0,5,"BAR_LAG","indval","bin"
"Chromis viridis",0.25,"BAR",1,12.5,"BAR_LAG","indval","bin"
"Chrysiptera biocellata",0.1,"BAR",0,5,"BAR_LAG","indval","bin"
"Coris batuensis",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Coris caudimacula",0.1,"LAG",0,5,"BAR_LAG","indval","bin"
"Coris dorsomacula",0.208,"BAR",0,15,"BAR_LAG","indval","bin"
"Ctenochaetus striatus",0.1,"BAR",0,5,"BAR_LAG","indval","bin"
"Dascyllus aruanus",0.35,"BAR",1,17.5,"BAR_LAG","indval","bin"
"Dasyatis kuhlii",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Decapterus macarellus",0.25,"LAG",1,12.5,"BAR_LAG","indval","bin"
"Diagramma pictum",0.067,"BAR",0,7.5,"BAR_LAG","indval","bin"
"Echeneis naucrates",0.075,"BAR",0,15,"BAR_LAG","indval","bin"
"Epinephelus howlandi",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Epinephelus maculatus",0.15,"BAR",0,7.5,"BAR_LAG","indval","bin"
"Epinephelus malabaricus",0.05,"LAG",0,2.5,"BAR_LAG","indval","bin"
"Epinephelus merra",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Galeocerdo cuvier",0.05,"LAG",0,2.5,"BAR_LAG","indval","bin"
"Gymnocranius grandoculis",0.2,"BAR",0,10,"BAR_LAG","indval","bin"
"Halichoeres chrysus",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Halichoeres trimaculatus",0.85,"BAR",1,42.5,"BAR_LAG","indval","bin"
"Hemigymnus melapterus",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Heniochus acuminatus",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Himantura fai",0.05,"LAG",0,2.5,"BAR_LAG","indval","bin"
"Labroides dimidiatus",0.15,"BAR",0,7.5,"BAR_LAG","indval","bin"
"Lagocephalus sceleratus",0.2,"LAG",0,22.5,"BAR_LAG","indval","bin"
"Lethrinus atkinsoni",0.1,"BAR",0,5,"BAR_LAG","indval","bin"
"Lethrinus genivittatus",0.602,"LAG",1,60,"BAR_LAG","indval","bin"
"Lethrinus obsoletus",0.2,"LAG",0,10,"BAR_LAG","indval","bin"
"Lethrinus olivaceus",0.05,"LAG",0,2.5,"BAR_LAG","indval","bin"
"Lethrinus rubrioperculatus",0.753,"BAR",1,42.5,"BAR_LAG","indval","bin"
"Lethrinus variegatus",0.75,"BAR",1,37.5,"BAR_LAG","indval","bin"
"Lutjanus gibbus",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Lutjanus vitta",0.1,"BAR",0,5,"BAR_LAG","indval","bin"
"Macropharyngodon negrosensis",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Mulloidichthys flavolineatus",0.4,"BAR",1,20,"BAR_LAG","indval","bin"
"Naso annulatus",0.1,"BAR",0,5,"BAR_LAG","indval","bin"
"Naso brevirostris",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Nebrius ferrugineus",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Nemipterus peronii",0.9,"LAG",1,45,"BAR_LAG","indval","bin"
"Oplopomus oplopomus",0.1,"LAG",0,5,"BAR_LAG","indval","bin"
"Oxycheilinus bimaculatus",0.703,"BAR",1,40,"BAR_LAG","indval","bin"
"Oxycheilinus nigromarginatus",0.25,"BAR",1,12.5,"BAR_LAG","indval","bin"
"Oxycheilinus unifasciatus",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Parapercis australis",0.7,"BAR",1,35,"BAR_LAG","indval","bin"
"Parapercis hexophtalma",0.1,"BAR",0,5,"BAR_LAG","indval","bin"
"Parupeneus barberinoides",0.7,"BAR",1,35,"BAR_LAG","indval","bin"
"Parupeneus barberinus",0.1,"BAR",0,5,"BAR_LAG","indval","bin"
"Parupeneus cyclostomus",0.1,"BAR",0,5,"BAR_LAG","indval","bin"
"Parupeneus heptacanthus",0.114,"LAG",0,17.5,"BAR_LAG","indval","bin"
"Parupeneus multifasciatus",0.5,"BAR",1,25,"BAR_LAG","indval","bin"
"Parupeneus pleurostigma",0.85,"BAR",1,42.5,"BAR_LAG","indval","bin"
"Parupeneus spilurus",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Pentapodus caninus",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Pentapodus nagasakiensis",0.417,"BAR",0,67.5,"BAR_LAG","indval","bin"
"Plagiotremus rhinorhynchos",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Plagiotremus tapeinosoma",0.2,"BAR",0,10,"BAR_LAG","indval","bin"
"Plectropomus leopardus",0.15,"BAR",0,7.5,"BAR_LAG","indval","bin"
"Pomacanthus imperator",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Pomacentrus coelestis",0.35,"BAR",1,17.5,"BAR_LAG","indval","bin"
"Pomacentrus moluccensis",0.2,"BAR",0,10,"BAR_LAG","indval","bin"
"Pomacentrus nagasakiensis",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Pristotis obtusirostris",0.09,"BAR",0,12.5,"BAR_LAG","indval","bin"
"Pseudalutarius nasicornis",0.405,"LAG",1,25,"BAR_LAG","indval","bin"
"Pseudanthias hypselosoma",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Pseudobalistes flavimarginatus",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Pseudobalistes fuscus",0.3,"BAR",1,15,"BAR_LAG","indval","bin"
"Pseudocaranx dentex",0.15,"LAG",0,7.5,"BAR_LAG","indval","bin"
"Pseudojuloides cerasinus",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Ptereleotris microlepis",0.25,"BAR",1,12.5,"BAR_LAG","indval","bin"
"Pterocaesio marri",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Pterocaesio trilineata",0.1,"BAR",0,5,"BAR_LAG","indval","bin"
"Rhinecanthus aculeatus",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Scarus chameleon",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Scarus ghobban",0.25,"BAR",1,12.5,"BAR_LAG","indval","bin"
"Scarus longipinnis",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Scarus psittacus",0.3,"BAR",1,15,"BAR_LAG","indval","bin"
"Scarus schlegeli",0.15,"BAR",0,7.5,"BAR_LAG","indval","bin"
"Scolopsis lineata",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Scomberoides tol",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Scomberomorus commerson",0.2,"LAG",0,22.5,"BAR_LAG","indval","bin"
"Siganus doliatus",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Siganus punctatus",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Sphyrna mokarran",0.05,"LAG",0,2.5,"BAR_LAG","indval","bin"
"Stegastes nigricans",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Stethojulis bandanensis",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Stethojulis interrupta",0.4,"BAR",1,20,"BAR_LAG","indval","bin"
"Stethojulis strigiventer",0.15,"BAR",0,7.5,"BAR_LAG","indval","bin"
"Sufflamen chrysopterum",0.35,"BAR",1,17.5,"BAR_LAG","indval","bin"
"Sufflamen fraenatum",0.15,"BAR",0,7.5,"BAR_LAG","indval","bin"
"Synodus dermatogenys",0.05,"LAG",0,2.5,"BAR_LAG","indval","bin"
"Synodus variegatus",0.4,"LAG",1,20,"BAR_LAG","indval","bin"
"Taeniura meyeni",0.025,"BAR",0,5,"BAR_LAG","indval","bin"
"Thalassoma lunare",0.75,"BAR",1,37.5,"BAR_LAG","indval","bin"
"Upeneus moluccensis",0.3,"LAG",1,15,"BAR_LAG","indval","bin"
"Upeneus sundaicus",0.125,"BAR",0,25,"BAR_LAG","indval","bin"
"Upeneus tragula",0.15,"LAG",0,7.5,"BAR_LAG","indval","bin"
"Upeneus vittatus",0.1,"LAG",0,5,"BAR_LAG","indval","bin"
"Valenciennea decora",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Valenciennea longipinnis",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Valenciennea puellaris",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Zebrasoma velifer",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Abalistes stellatus",0.114,"LAG",0,17.5,"BAY_LAG","indval","bin"
"Acreichthys tomentosus",0.05,"LAG",0,2.5,"BAY_LAG","indval","bin"
"Aetobatus narinari",0.05,"LAG",0,2.5,"BAY_LAG","indval","bin"
"Amblygobius sphynx",0.1,"LAG",0,5,"BAY_LAG","indval","bin"
"Aprion virescens",0.05,"LAG",0,2.5,"BAY_LAG","indval","bin"
"Arothron stellatus",0.2,"LAG",0,10,"BAY_LAG","indval","bin"
"Atule mate",0.424,"BAY",0,42.5,"BAY_LAG","indval","bin"
"Canthigaster bennetti",0.05,"BAY",0,2.5,"BAY_LAG","indval","bin"
"Carangoides dinema",0.067,"LAG",0,7.5,"BAY_LAG","indval","bin"
"Carangoides fulvoguttatus",0.05,"LAG",0,2.5,"BAY_LAG","indval","bin"
"Carangoides plagiotaenia",0.05,"LAG",0,2.5,"BAY_LAG","indval","bin"
"Caranx ignobilis",0.05,"LAG",0,2.5,"BAY_LAG","indval","bin"
"Caranx papuensis",0.05,"BAY",0,2.5,"BAY_LAG","indval","bin"
"Carcharhinus leucas",0.05,"LAG",0,2.5,"BAY_LAG","indval","bin"
