"feature","featureImportance","class","IsIndSp","prevalence","comparison","source","data"
"Pentapodus nagasakiensis",0.479,"BAR",0,67.5,"BAR_LAG","indval","maxN"
"Plagiotremus tapeinosoma",0.2,"BAR",0,10,"BAR_LAG","indval","maxN"
"Pomacentrus coelestis",0.35,"BAR",1,17.5,"BAR_LAG","indval","maxN"
"Pomacentrus moluccensis",0.2,"BAR",0,10,"BAR_LAG","indval","maxN"
"Pristotis obtusirostris",0.082,"BAR",0,12.5,"BAR_LAG","indval","maxN"
"Pseudalutarius nasicornis",0.409,"LAG",1,25,"BAR_LAG","indval","maxN"
"Pseudobalistes fuscus",0.3,"BAR",1,15,"BAR_LAG","indval","maxN"
"Ptereleotris microlepis",0.25,"BAR",1,12.5,"BAR_LAG","indval","maxN"
"Scarus ghobban",0.25,"BAR",1,12.5,"BAR_LAG","indval","maxN"
"Scarus psittacus",0.3,"BAR",1,15,"BAR_LAG","indval","maxN"
"Scomberomorus commerson",0.21,"LAG",0,22.5,"BAR_LAG","indval","maxN"
"Stethojulis interrupta",0.4,"BAR",1,20,"BAR_LAG","indval","maxN"
"Sufflamen chrysopterum",0.35,"BAR",1,17.5,"BAR_LAG","indval","maxN"
"Synodus variegatus",0.4,"LAG",1,20,"BAR_LAG","indval","maxN"
"Thalassoma lunare",0.75,"BAR",1,37.5,"BAR_LAG","indval","maxN"
"Upeneus moluccensis",0.3,"LAG",1,15,"BAR_LAG","indval","maxN"
"Upeneus sundaicus",0.203,"BAR",0,25,"BAR_LAG","indval","maxN"
"Abalistes stellatus",0.114,"LAG",0,17.5,"BAY_LAG","indval","maxN"
"Arothron stellatus",0.2,"LAG",0,10,"BAY_LAG","indval","maxN"
"Atule mate",0.467,"BAY",1,42.5,"BAY_LAG","indval","maxN"
"Decapterus macarellus",0.221,"LAG",0,20,"BAY_LAG","indval","maxN"
"Echeneis naucrates",0.139,"BAY",0,20,"BAY_LAG","indval","maxN"
"Lagocephalus sceleratus",0.208,"BAY",0,32.5,"BAY_LAG","indval","maxN"
"Leiognathus fasciatus",0.2,"BAY",0,10,"BAY_LAG","indval","maxN"
"Lethrinus genivittatus",0.694,"LAG",1,75,"BAY_LAG","indval","maxN"
"Lethrinus obsoletus",0.424,"BAY",1,42.5,"BAY_LAG","indval","maxN"
"Nemipterus peronii",0.582,"LAG",1,87.5,"BAY_LAG","indval","maxN"
"Parupeneus heptacanthus",0.133,"LAG",0,15,"BAY_LAG","indval","maxN"
"Pentapodus nagasakiensis",0.6,"LAG",1,30,"BAY_LAG","indval","maxN"
"Pseudalutarius nasicornis",0.45,"LAG",1,22.5,"BAY_LAG","indval","maxN"
"Pseudocaranx dentex",0.071,"LAG",0,10,"BAY_LAG","indval","maxN"
"Scomberomorus commerson",0.233,"LAG",0,20,"BAY_LAG","indval","maxN"
"Synodus variegatus",0.212,"LAG",0,35,"BAY_LAG","indval","maxN"
"Upeneus moluccensis",0.3,"LAG",1,15,"BAY_LAG","indval","maxN"
"Upeneus sundaicus",0.208,"LAG",0,17.5,"BAY_LAG","indval","maxN"
"Upeneus tragula",0.067,"BAY",0,12.5,"BAY_LAG","indval","maxN"
"Abalistes stellatus",0.094,"INSHORE",0,16.6666666666667,"INSHORE_OFFSHORE","indval","maxN"
"Amblygobius phalaena",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","maxN"
"Atule mate",0.425,"INSHORE",1,28.3333333333333,"INSHORE_OFFSHORE","indval","maxN"
"Chaetodon auriga",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","maxN"
"Coris dorsomacula",0.227,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","maxN"
"Dascyllus aruanus",0.35,"OFFSHORE",1,11.6666666666667,"INSHORE_OFFSHORE","indval","maxN"
"Decapterus macarellus",0.2,"INSHORE",0,13.3333333333333,"INSHORE_OFFSHORE","indval","maxN"
"Echeneis naucrates",0.12,"INSHORE",0,18.3333333333333,"INSHORE_OFFSHORE","indval","maxN"
"Halichoeres trimaculatus",0.842,"OFFSHORE",1,30,"INSHORE_OFFSHORE","indval","maxN"
"Lagocephalus sceleratus",0.263,"INSHORE",0,26.6666666666667,"INSHORE_OFFSHORE","indval","maxN"
"Lethrinus genivittatus",0.522,"INSHORE",1,61.6666666666667,"INSHORE_OFFSHORE","indval","maxN"
"Lethrinus obsoletus",0.425,"INSHORE",1,28.3333333333333,"INSHORE_OFFSHORE","indval","maxN"
"Lethrinus rubrioperculatus",0.793,"OFFSHORE",1,28.3333333333333,"INSHORE_OFFSHORE","indval","maxN"
"Lethrinus variegatus",0.75,"OFFSHORE",1,25,"INSHORE_OFFSHORE","indval","maxN"
"Mulloidichthys flavolineatus",0.4,"OFFSHORE",1,13.3333333333333,"INSHORE_OFFSHORE","indval","maxN"
"Nemipterus peronii",0.875,"INSHORE",1,58.3333333333333,"INSHORE_OFFSHORE","indval","maxN"
"Oxycheilinus bimaculatus",0.74,"OFFSHORE",1,26.6666666666667,"INSHORE_OFFSHORE","indval","maxN"
"Parapercis australis",0.7,"OFFSHORE",1,23.3333333333333,"INSHORE_OFFSHORE","indval","maxN"
"Parupeneus barberinoides",0.7,"OFFSHORE",1,23.3333333333333,"INSHORE_OFFSHORE","indval","maxN"
"Parupeneus heptacanthus",0.078,"INSHORE",0,15,"INSHORE_OFFSHORE","indval","maxN"
"Parupeneus multifasciatus",0.5,"OFFSHORE",1,16.6666666666667,"INSHORE_OFFSHORE","indval","maxN"
"Parupeneus pleurostigma",0.85,"OFFSHORE",1,28.3333333333333,"INSHORE_OFFSHORE","indval","maxN"
"Pentapodus nagasakiensis",0.585,"OFFSHORE",1,45,"INSHORE_OFFSHORE","indval","maxN"
"Pomacentrus coelestis",0.35,"OFFSHORE",1,11.6666666666667,"INSHORE_OFFSHORE","indval","maxN"
"Pseudalutarius nasicornis",0.188,"INSHORE",0,16.6666666666667,"INSHORE_OFFSHORE","indval","maxN"
"Pseudobalistes fuscus",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","maxN"
